,0
0,DL_KZS5_CY_FQ7205-1
1,DL_KZS5_CY_FT7205-1
2,DL_KZS5_CY_FQ7205-2
3,DL_KZS5_CY_FT7205-2
4,DL_KZS5_CY_SFJ_POWER
5,DL_KZS5_CY_FQ7205-3
6,DL_KZS5_CY_FT7205-3
7,Reserved_274
8,DL_TRQ_WR_7
9,DL_TRQ_WR_6
10,DL_TRQ_WR_5
11,DL_TRQ_WR_4
12,DL_TRQ_WR_3
13,DL_TRQ_WR_2
14,DL_TRQ_WR_1
15,DL_KZS4_CS_TAT7204-T1
16,DL_KZS4_CS_TAT7204-H1
17,DL_KZS4_CS_TAT7204-T2
18,DL_KZS4_CS_TAT7204-H2
19,DL_KZS3_CS_TAT7203-T1
20,DL_KZS3_CS_TAT7203-H1
21,DL_KZS3_CS_TAT7203-T2
22,DL_KZS3_CS_TAT7203-H2
23,DL_KZS3_CS_TAT7203-T3
24,DL_KZS3_CS_TAT7203-H3
25,DL_KZS3_CS_TAT7203-T4
26,DL_KZS3_CS_TAT7203-H4
27,DL_KZS3_CS_TAT7203-T5
28,DL_KZS3_CS_TAT7203-H5
29,DL_KZS6_JX_TAT7206-T1
30,DL_KZS6_JX_TAT7206-H1
31,DL_KZS6_JX_TAT7206-T2
32,DL_KZS6_JX_TAT7206-H2
33,DL_KZS6_JX_TAT7206-T3
34,DL_KZS6_JX_TAT7206-H3
35,DL_KZS6_JX_TAT7206-T4
36,DL_KZS6_JX_TAT7206-H4
37,DL_KZS12_HS_TAT9101-T1
38,DL_KZS12_HS_TAT9101-H1
39,DL_KZS12_HS_TAT9101-T2
40,DL_KZS12_HS_TAT9101-H2
41,DL_KZS12_HS_TAT9101-T3
42,DL_KZS12_HS_TAT9101-H3
43,DL_KZS13_GS_TAT7213-T1
44,DL_KZS13_GS_TAT7213-H1
45,DL_KZS13_GS_TAT7213-T2
46,DL_KZS13_GS_TAT7213-H2
47,DL_KZS9_SC_TAT7209-T2
48,DL_KZS9_SC_TAT7209-H2
49,DL_KZS9_SC_TAT7209-T3
50,DL_KZS9_SC_TAT7209-H3
51,DL_KZS9_SC_TAT7209-T4
52,DL_KZS9_SC_TAT7209-H4
53,DL_KZS9_SC_TAT7209-T5
54,DL_KZS9_SC_TAT7209-H5
55,DL_KZS9_SC_TAT7209-T7
56,DL_KZS9_SC_TAT7209-H7
57,DL_XZS3_SC_TAT7303-T1
58,DL_XZS3_SC_TAT7303-T2
59,DL_XZS3_SC_TAT7303-T3
60,DL_XZS3_SC_TAT7303-H1
61,DL_XZS3_SC_TAT7303-H2
62,DL_XZS3_SC_TAT7303-H3
63,DL_XZS4_SC_TAT7304-T1
64,DL_XZS4_SC_TAT7304-T2
65,DL_XZS4_SC_TAT7304-T3
66,DL_XZS4_SC_TAT7304-H1
67,DL_XZS4_SC_TAT7304-H2
68,DL_XZS4_SC_TAT7304-H3
69,DL_XZS5_SC_TAT7305-T7
70,DL_XZS5_SC_TAT7305-H7
71,DL_XZS6_SC_TAT7306-T1
72,DL_XZS6_SC_TAT7306-H1
73,DL_XZS7_SC_TAT7307-T1
74,DL_XZS7_SC_TAT7307-T2
75,DL_XZS7_SC_TAT7307-H1
76,DL_XZS7_SC_TAT7307-H2
77,DL_XZS8_SC_TAT7308-T1
78,DL_XZS8_SC_TAT7308-H1
79,DL_XZS9_SC_TAT7309-T1
80,DL_XZS9_SC_TAT7309-T2
81,DL_XZS9_SC_TAT7309-T3
82,DL_XZS9_SC_TAT7309-T4
83,DL_XZS9_SC_TAT7309-H1
84,DL_XZS9_SC_TAT7309-H2
85,DL_XZS9_SC_TAT7309-H3
86,DL_XZS9_SC_TAT7309-H4
87,DL_KZS5_CY_J7205-1.current
88,DL_KZS5_CY_DATA.H_SP
89,DL_KZS5_CY_DATA.T_SP
90,DL_KZS5_CY_PID7205/SFJ_TJ.FB_IN
91,DL_KZS5_CY_J7205-1_Man
92,DL_KZS5_CY_J7205-1_Fault
93,DL_KZS5_CY_J7205-1_FB
94,DL_KZS5_CY_J7205-1_Remote
95,DL_KZS5_CY_CSBJS7205/2.ERR_6
96,DL_KZS5_CY_CSBJS7205/2.ERR_5
97,DL_KZS5_CY_CSBJS7205/2.ERR_4
98,DL_KZS5_CY_CSBJS7205/2.ERR_3
99,DL_KZS5_CY_CSBJS7205/2.ERR_2
100,DL_KZS5_CY_CSBJS7205/2.ERR_1
101,DL_KZS5_CY_CSBJS7205/2.start_6
102,DL_KZS5_CY_CSBJS7205/2.start_5
103,DL_KZS5_CY_CSBJS7205/2.start_4
104,DL_KZS5_CY_CSBJS7205/2.start_3
105,DL_KZS5_CY_CSBJS7205/2.start_2
106,DL_KZS5_CY_CSBJS7205/2.start_1
107,DL_KZS5_CY_CSBJS7205/2.run_6
108,DL_KZS5_CY_CSBJS7205/2.run_5
109,DL_KZS5_CY_CSBJS7205/2.run_4
110,DL_KZS5_CY_CSBJS7205/2.run_3
111,DL_KZS5_CY_CSBJS7205/2.run_2
112,DL_KZS5_CY_CSBJS7205/2.run_1
113,DL_KZS5_CY_CSBJS7205/2.remo_stop
114,DL_KZS5_CY_CSBJS7205/2.remo_start
115,DL_KZS5_CY_CSBJS7205/2.stop_sys
116,DL_KZS5_CY_CSBJS7205/2.open_sys
117,DL_KZS5_CY_CSBJS7205/2.remote
118,DL_KZS5_CY_L7205-S
119,DL_KZS5_CY_TAT7205-H5
120,DL_KZS5_CY_TAT7205-T5
121,DL_KZS5_CY_TAT7205-H4
122,DL_KZS5_CY_TAT7205-T4
123,DL_KZS5_CY_TAT7205-H3
124,DL_KZS5_CY_TAT7205-T3
125,DL_KZS5_CY_TAT7205-H2
126,DL_KZS5_CY_TAT7205-T2
127,DL_KZS5_CY_TAT7205-H1
128,DL_KZS5_CY_TAT7205-T1
129,DL_KZS5_CY_TAT7205-T
130,DL_KZS5_CY_TAT7205-H
131,DL_KZS5_CY_PdS7205-1_ALARM
132,DL_KZS5_CY_PdS7205-1
133,DL_KZS5_CY_PdS7205-3
134,DL_KZS5_CY_TAT7205-7-H
135,DL_KZS5_CY_TAT7205-7-T
136,DL_KZS5_CY_TAT7205-6-H
137,DL_KZS5_CY_TAT7205-6-T
138,DL_KZS5_CY_VC7205-3_FB
139,DL_KZS5_CY_VC7205-3_SP
140,DL_KZS5_CY_TAT7205-5-H
141,DL_KZS5_CY_TAT7205-5-T
142,DL_KZS5_CY_VC7205-4_FB
143,DL_KZS5_CY_VC7205-4_SP
144,DL_KZS5_CY_PT7205-1
145,DL_KZS5_CY_TT7205-2
146,DL_KZS5_CY_TT7205-1
147,DL_KZS5_CY_VC7205-5_FB
148,DL_KZS5_CY_VC7205-5_SP
149,DL_KZS5_CY_PT7205
150,DL_KZS5_CY_TT7205
151,DL_KZS5_CY_VC7205-1_FB
152,DL_KZS5_CY_VC7205-1_SP
153,DL_KZS5_CY_VC7205-2_FB
154,DL_KZS5_CY_VC7205-2_SP
155,DL_KZS5_CY_H_OUT
156,DL_KZS5_CY_T_OUT
