部门编码,设备编码,通道号,设备号,微软标签,KEPWARE标签名,Address,Data Type,Description,备注
,KZS5,DL,DL,DL.DL.DL_KZS5_CY_VC7205_2_FB,DL_KZS5_CY_VC7205_2_FB,DB10.DBD96,FLOAT,加湿阀开度反馈,
,KZS5,DL,DL,DL.DL.DL_KZS5_CY_VC7205_1_FB,DL_KZS5_CY_VC7205_1_FB,DB10.DBD92,FLOAT,加热阀门开度反馈,
,KZS5,DL,DL,DL.DL.DL_KZS5_CY_TT7205,DL_KZS5_CY_TT7205,DB10.DBD80,FLOAT,蒸汽总管温度,
,KZS5,DL,DL,DL.DL.DL_KZS5_CY_PT7205,DL_KZS5_CY_PT7205,DB10.DBD84,FLOAT,蒸汽总管压力,
,KZS5,DL,DL,DL.DL.DL_KZS5_CY_VC7205_5_FB,DL_KZS5_CY_VC7205_5_FB,DB10.DBD88,FLOAT,表冷阀门开度反馈,
,KZS5,DL,DL,DL.DL.DL_KZS5_CY_TT7205_1,DL_KZS5_CY_TT7205_1,DB10.DBD72,FLOAT,表冷器进水温度 ,
,KZS5,DL,DL,DL.DL.DL_KZS5_CY_TT7205_2,DL_KZS5_CY_TT7205_2,DB10.DBD76,FLOAT,表冷器出水温度,
,KZS5,DL,DL,DL.DL.DL_KZS5_CY_PT7205_1,DL_KZS5_CY_PT7205_1,DB10.DBD4,FLOAT,表冷器进水压力,
,KZS5,DL,DL,DL.DL.DL_KZS5_CY_TAT7205_5_T,DL_KZS5_CY_TAT7205_5_T,DB10.DBD52,FLOAT,新风温度,
,KZS5,DL,DL,DL.DL.DL_KZS5_CY_TAT7205_5_H,DL_KZS5_CY_TAT7205_5_H,DB10.DBD48,FLOAT,新风湿度,
,KZS5,DL,DL,DL.DL.DL_KZS5_CY_VC7205_3_FB,DL_KZS5_CY_VC7205_3_FB,DB10.DBD100,FLOAT,新风阀开度反馈,
,KZS5,DL,DL,DL.DL.DL_KZS5_CY_TAT7205_6_T,DL_KZS5_CY_TAT7205_6_T,DB10.DBD60,FLOAT,送风温度,
,KZS5,DL,DL,DL.DL.DL_KZS5_CY_TAT7205_6_H,DL_KZS5_CY_TAT7205_6_H,DB10.DBD56,FLOAT,送风湿度,
,KZS5,DL,DL,DL.DL.DL_KZS5_CY_TAT7205_7_T,DL_KZS5_CY_TAT7205_7_T,DB10.DBD68,FLOAT,回风温度,
,KZS5,DL,DL,DL.DL.DL_KZS5_CY_TAT7205_7_H,DL_KZS5_CY_TAT7205_7_H,DB10.DBD64,FLOAT,回风湿度,
,KZS5,DL,DL,DL.DL.DL_KZS5_CY_PdS7205_1,DL_KZS5_CY_PdS7205_1,DB10.DBD128,FLOAT,送风机两侧压差,
,KZS5,DL,DL,DL.DL.DL_KZS5_CY_TAT7205_T1,DL_KZS5_CY_TAT7205_T1,DB10.DBD12,FLOAT,测点1温度,
,KZS5,DL,DL,DL.DL.DL_KZS5_CY_TAT7205_H1,DL_KZS5_CY_TAT7205_H1,DB10.DBD8,FLOAT,测点1湿度,
,KZS5,DL,DL,DL.DL.DL_KZS5_CY_TAT7205_T2,DL_KZS5_CY_TAT7205_T2,DB10.DBD20,FLOAT,测点2温度,
,KZS5,DL,DL,DL.DL.DL_KZS5_CY_TAT7205_H2,DL_KZS5_CY_TAT7205_H2,DB10.DBD16,FLOAT,测点2湿度,
,KZS5,DL,DL,DL.DL.DL_KZS5_CY_TAT7205_T3,DL_KZS5_CY_TAT7205_T3,DB10.DBD28,FLOAT,测点3温度,
,KZS5,DL,DL,DL.DL.DL_KZS5_CY_TAT7205_H3,DL_KZS5_CY_TAT7205_H3,DB10.DBD24,FLOAT,测点3湿度,
,KZS5,DL,DL,DL.DL.DL_KZS5_CY_TAT7205_T4,DL_KZS5_CY_TAT7205_T4,DB10.DBD36,FLOAT,测点4温度,
,KZS5,DL,DL,DL.DL.DL_KZS5_CY_TAT7205_H4,DL_KZS5_CY_TAT7205_H4,DB10.DBD32,FLOAT,测点4湿度,
,KZS5,DL,DL,DL.DL.DL_KZS5_CY_TAT7205_T5,DL_KZS5_CY_TAT7205_T5,DB10.DBD40,FLOAT,测点5温度,
,KZS5,DL,DL,DL.DL.DL_KZS5_CY_TAT7205_H5,DL_KZS5_CY_TAT7205_H5,DB10.DBD44,FLOAT,测点5湿度,
,XZS5,DL,DL,DL.DL.DL_XZS5_SC_TAT7305_H1,DL_XZS5_SC_TAT7305_H1,DB12.DBD144,FLOAT,大区域XZS5室内湿度1,
,XZS5,DL,DL,DL.DL.DL_XZS5_SC_TAT7305_T1,DL_XZS5_SC_TAT7305_T1,DB12.DBD148,FLOAT,大区域XZS5室内温度1,
,XZS4,DL,DL,DL.DL.DL_XZS4_SC_TAT7304_H3,DL_XZS4_SC_TAT7304_H3,DB12.DBD136,FLOAT,TAT7304-H/湿度3.U,
,XZS4,DL,DL,DL.DL.DL_XZS4_SC_TAT7304_H2,DL_XZS4_SC_TAT7304_H2,DB12.DBD128,FLOAT,大区域XZS4室内湿度2,
,XZS4,DL,DL,DL.DL.DL_XZS4_SC_TAT7304_H1,DL_XZS4_SC_TAT7304_H1,DB12.DBD120,FLOAT,大区域XZS4室内湿度1,
,XZS4,DL,DL,DL.DL.DL_XZS4_SC_TAT7304_T3,DL_XZS4_SC_TAT7304_T3,DB12.DBD140,FLOAT,大区域XZS4室内温度3,
,XZS4,DL,DL,DL.DL.DL_XZS4_SC_TAT7304_T2,DL_XZS4_SC_TAT7304_T2,DB12.DBD132,FLOAT,大区域XZS4室内温度2,
,XZS4,DL,DL,DL.DL.DL_XZS4_SC_TAT7304_T1,DL_XZS4_SC_TAT7304_T1,DB12.DBD124,FLOAT,大区域XZS4室内温度1,
,XZS3,DL,DL,DL.DL.DL_XZS3_SC_TAT7303_H3,DL_XZS3_SC_TAT7303_H3,DB12.DBD112,FLOAT,大区域XZS3室内湿度3,
,XZS3,DL,DL,DL.DL.DL_XZS3_SC_TAT7303_H2,DL_XZS3_SC_TAT7303_H2,DB12.DBD104,FLOAT,大区域XZS3室内湿度2,
,XZS3,DL,DL,DL.DL.DL_XZS3_SC_TAT7303_H1,DL_XZS3_SC_TAT7303_H1,DB12.DBD96,FLOAT,大区域XZS3室内湿度1,
,XZS3,DL,DL,DL.DL.DL_XZS3_SC_TAT7303_T3,DL_XZS3_SC_TAT7303_T3,DB12.DBD116,FLOAT,大区域XZS3室内温度3,
,XZS3,DL,DL,DL.DL.DL_XZS3_SC_TAT7303_T2,DL_XZS3_SC_TAT7303_T2,DB12.DBD108,FLOAT,大区域XZS3室内温度2,
,XZS3,DL,DL,DL.DL.DL_XZS3_SC_TAT7303_T1,DL_XZS3_SC_TAT7303_T1,DB12.DBD100,FLOAT,大区域XZS3室内温度1,
,KZS9,DL,DL,DL.DL.DL_KZS9_SC_TAT7209_H5,DL_KZS9_SC_TAT7209_H5,DB12.DBD304,FLOAT,大区域KZS9室内湿度5,
,KZS9,DL,DL,DL.DL.DL_KZS9_SC_TAT7209_T5,DL_KZS9_SC_TAT7209_T5,DB12.DBD308,FLOAT,大区域KZS9室内温度5,
,KZS9,DL,DL,DL.DL.DL_KZS9_SC_TAT7209_H4,DL_KZS9_SC_TAT7209_H4,DB12.DBD296,FLOAT,大区域KZS9室内湿度4,
,KZS9,DL,DL,DL.DL.DL_KZS9_SC_TAT7209_T4,DL_KZS9_SC_TAT7209_T4,DB12.DBD300,FLOAT,大区域KZS9室内温度4,
,KZS9,DL,DL,DL.DL.DL_KZS9_SC_TAT7209_H3,DL_KZS9_SC_TAT7209_H3,DB12.DBD288,FLOAT,大区域KZS9室内湿度3,
,KZS9,DL,DL,DL.DL.DL_KZS9_SC_TAT7209_T3,DL_KZS9_SC_TAT7209_T3,DB12.DBD292,FLOAT,大区域KZS9室内温度3,
,KZS9,DL,DL,DL.DL.DL_KZS9_SC_TAT7209_H2,DL_KZS9_SC_TAT7209_H2,DB12.DBD280,FLOAT,大区域KZS9室内湿度2,
,KZS9,DL,DL,DL.DL.DL_KZS9_SC_TAT7209_T2,DL_KZS9_SC_TAT7209_T2,DB12.DBD284,FLOAT,大区域KZS9室内温度2,
,KZS13,DL,DL,DL.DL.DL_KZS13_GS_TAT7213_H2,DL_KZS13_GS_TAT7213_H2,DB12.DBD240,FLOAT,梗丝间室内湿度2,
,KZS13,DL,DL,DL.DL.DL_KZS13_GS_TAT7213_T2,DL_KZS13_GS_TAT7213_T2,DB12.DBD244,FLOAT,梗丝间室内温度2,
,KZS13,DL,DL,DL.DL.DL_KZS13_GS_TAT7213_H1,DL_KZS13_GS_TAT7213_H1,DB12.DBD232,FLOAT,梗丝间室内湿度1,
,KZS13,DL,DL,DL.DL.DL_KZS13_GS_TAT7213_T1,DL_KZS13_GS_TAT7213_T1,DB12.DBD236,FLOAT,梗丝间室内温度1,
,KZS12,DL,DL,DL.DL.DL_KZS12_HS_TAT9101_H3,DL_KZS12_HS_TAT9101_H3,DB12.DBD276,FLOAT,混丝间室内湿度3,
,KZS12,DL,DL,DL.DL.DL_KZS12_HS_TAT9101_T3,DL_KZS12_HS_TAT9101_T3,DB12.DBD264,FLOAT,混丝间室内温度3,
,KZS12,DL,DL,DL.DL.DL_KZS12_HS_TAT9101_H2,DL_KZS12_HS_TAT9101_H2,DB12.DBD272,FLOAT,混丝间室内湿度2,
,KZS12,DL,DL,DL.DL.DL_KZS12_HS_TAT9101_T2,DL_KZS12_HS_TAT9101_T2,DB12.DBD248,FLOAT,混丝间室内温度2,
,KZS12,DL,DL,DL.DL.DL_KZS12_HS_TAT9101_H1,DL_KZS12_HS_TAT9101_H1,DB12.DBD268,FLOAT,混丝间室内湿度1,
,KZS6,DL,DL,DL.DL.DL_KZS6_JX_TAT7206_H4,DL_KZS6_JX_TAT7206_H4,DB12.DBD88,FLOAT,加香区测点4湿度,
,KZS6,DL,DL,DL.DL.DL_KZS6_JX_TAT7206_T4,DL_KZS6_JX_TAT7206_T4,DB12.DBD92,FLOAT,加香区测点4温度,
,KZS6,DL,DL,DL.DL.DL_KZS6_JX_TAT7206_H3,DL_KZS6_JX_TAT7206_H3,DB12.DBD80,FLOAT,加香区测点3湿度,
,KZS6,DL,DL,DL.DL.DL_KZS6_JX_TAT7206_T3,DL_KZS6_JX_TAT7206_T3,DB12.DBD84,FLOAT,加香区测点3温度,
,KZS6,DL,DL,DL.DL.DL_KZS6_JX_TAT7206_H2,DL_KZS6_JX_TAT7206_H2,DB12.DBD72,FLOAT,加香区测点2湿度,
,KZS6,DL,DL,DL.DL.DL_KZS6_JX_TAT7206_T2,DL_KZS6_JX_TAT7206_T2,DB12.DBD76,FLOAT,加香区测点2温度,
,KZS6,DL,DL,DL.DL.DL_KZS6_JX_TAT7206_H1,DL_KZS6_JX_TAT7206_H1,DB12.DBD64,FLOAT,加香区测点1湿度,
,KZS6,DL,DL,DL.DL.DL_KZS6_JX_TAT7206_T1,DL_KZS6_JX_TAT7206_T1,DB12.DBD68,FLOAT,加香区测点1温度,
