"KZS5送风机电流 Time;""KZS5送风机电流 ValueY"";""KZS5送风机电压 Time"";""KZS5送风机电压 ValueY"";""KZS5送风机运行时间 Time"";""KZS5送风机运行时间 ValueY"""
2020/5/28 17:00:33;38.5;2020/5/28 17:00:33;361;2020/5/28 17:00:33;7507
2020/5/28 17:02:33;38.2999992370605;2020/5/28 17:02:33;361.100006103516;2020/5/28 17:02:33;7507
2020/5/28 17:04:33;38.5999984741211;2020/5/28 17:04:33;360.899993896484;2020/5/28 17:04:33;7507
2020/5/28 17:06:33;38.4000015258789;2020/5/28 17:06:33;361.600006103516;2020/5/28 17:06:33;7507
2020/5/28 17:08:33;38.2999992370605;2020/5/28 17:08:33;361.700012207031;2020/5/28 17:08:33;7507
2020/5/28 17:10:33;38.5;2020/5/28 17:10:33;361.700012207031;2020/5/28 17:10:33;7507
2020/5/28 17:12:33;38.4000015258789;2020/5/28 17:12:33;359.799987792969;2020/5/28 17:12:33;7507
2020/5/28 17:14:33;38.5999984741211;2020/5/28 17:14:33;362.399993896484;2020/5/28 17:14:33;7507
2020/5/28 17:16:33;38.4000015258789;2020/5/28 17:16:33;362;2020/5/28 17:16:33;7507
2020/5/28 17:18:33;38.4000015258789;2020/5/28 17:18:33;362.100006103516;2020/5/28 17:18:33;7507
2020/5/28 17:20:33;38.2999992370605;2020/5/28 17:20:33;362.299987792969;2020/5/28 17:20:33;7507
2020/5/28 17:22:33;38.2999992370605;2020/5/28 17:22:33;362.5;2020/5/28 17:22:33;7507
2020/5/28 17:24:33;38.5;2020/5/28 17:24:33;362.200012207031;2020/5/28 17:24:33;7508
2020/5/28 17:26:33;38.2000007629395;2020/5/28 17:26:33;362.700012207031;2020/5/28 17:26:33;7508
2020/5/28 17:28:33;38.5;2020/5/28 17:28:33;362.200012207031;2020/5/28 17:28:33;7508
2020/5/28 17:30:33;38.4000015258789;2020/5/28 17:30:33;363.100006103516;2020/5/28 17:30:33;7508
2020/5/28 17:32:33;38.2999992370605;2020/5/28 17:32:33;363.299987792969;2020/5/28 17:32:33;7508
2020/5/28 17:34:33;38.5999984741211;2020/5/28 17:34:33;363.899993896484;2020/5/28 17:34:33;7508
2020/5/28 17:36:33;38.4000015258789;2020/5/28 17:36:33;363.299987792969;2020/5/28 17:36:33;7508
2020/5/28 17:38:33;38.4000015258789;2020/5/28 17:38:33;363.399993896484;2020/5/28 17:38:33;7508
2020/5/28 17:40:33;38.5999984741211;2020/5/28 17:40:33;363.899993896484;2020/5/28 17:40:33;7508
2020/5/28 17:42:33;38.4000015258789;2020/5/28 17:42:33;363.399993896484;2020/5/28 17:42:33;7508
2020/5/28 17:44:33;38.5;2020/5/28 17:44:33;364.399993896484;2020/5/28 17:44:33;7508
2020/5/28 17:46:33;38.4000015258789;2020/5/28 17:46:33;363.799987792969;2020/5/28 17:46:33;7508
2020/5/28 17:48:33;38.2999992370605;2020/5/28 17:48:33;363.899993896484;2020/5/28 17:48:33;7508
2020/5/28 17:50:33;38.5;2020/5/28 17:50:33;363.899993896484;2020/5/28 17:50:33;7508
2020/5/28 17:52:33;38.2999992370605;2020/5/28 17:52:33;364;2020/5/28 17:52:33;7508
2020/5/28 17:54:33;38.4000015258789;2020/5/28 17:54:33;362.399993896484;2020/5/28 17:54:33;7508
2020/5/28 17:56:33;38.0999984741211;2020/5/28 17:56:33;363.299987792969;2020/5/28 17:56:33;7508
2020/5/28 17:58:33;38.2999992370605;2020/5/28 17:58:33;363.700012207031;2020/5/28 17:58:33;7508
2020/5/28 18:00:33;38.5;2020/5/28 18:00:33;364.100006103516;2020/5/28 18:00:33;7508
2020/5/28 18:02:33;38.4000015258789;2020/5/28 18:02:33;364.399993896484;2020/5/28 18:02:33;7508
2020/5/28 18:04:33;38.4000015258789;2020/5/28 18:04:33;364.100006103516;2020/5/28 18:04:33;7508
2020/5/28 18:06:33;38.2999992370605;2020/5/28 18:06:33;364.299987792969;2020/5/28 18:06:33;7508
2020/5/28 18:08:33;38.4000015258789;2020/5/28 18:08:33;364.100006103516;2020/5/28 18:08:33;7508
2020/5/28 18:10:33;38.5;2020/5/28 18:10:33;364.299987792969;2020/5/28 18:10:33;7508
2020/5/28 18:12:33;38.2999992370605;2020/5/28 18:12:33;363.299987792969;2020/5/28 18:12:33;7508
2020/5/28 18:14:33;38.2999992370605;2020/5/28 18:14:33;363.799987792969;2020/5/28 18:14:33;7508
2020/5/28 18:16:33;38.2999992370605;2020/5/28 18:16:33;364.399993896484;2020/5/28 18:16:33;7508
2020/5/28 18:18:33;38.4000015258789;2020/5/28 18:18:33;363.899993896484;2020/5/28 18:18:33;7508
2020/5/28 18:20:33;38.4000015258789;2020/5/28 18:20:33;364.899993896484;2020/5/28 18:20:33;7508
2020/5/28 18:22:33;38.2999992370605;2020/5/28 18:22:33;364.700012207031;2020/5/28 18:22:33;7508
2020/5/28 18:24:33;38.4000015258789;2020/5/28 18:24:33;365;2020/5/28 18:24:33;7509
2020/5/28 18:26:33;38.2999992370605;2020/5/28 18:26:33;363.600006103516;2020/5/28 18:26:33;7509
