"室外温度 Time;""室外温度 ValueY"";""室外湿度 Time"";""室外湿度 ValueY"""
2020/2/25 19:33:16;9.8032398223877;2020/2/25 19:33:16;72.685188293457
2020/2/25 19:53:16;9.5717601776123;2020/2/25 19:53:16;73.0902786254883
2020/2/25 20:13:16;9.42708396911621;2020/2/25 20:13:16;73.466438293457
2020/2/25 20:33:16;9.5717601776123;2020/2/25 20:33:16;72.8009262084961
2020/2/25 20:53:16;9.62962913513184;2020/2/25 20:53:16;71.4699096679688
2020/2/25 21:13:16;9.42708396911621;2020/2/25 21:13:16;72.5115737915039
2020/2/25 21:33:16;8.76157379150391;2020/2/25 21:33:16;74.5081024169922
2020/2/25 21:53:16;8.70370483398438;2020/2/25 21:53:16;73.9293975830078
2020/2/25 22:13:16;9.13772964477539;2020/2/25 22:13:16;69.6469879150391
2020/2/25 22:33:16;9.8032398223877;2020/2/25 22:33:16;67.6215286254883
2020/2/25 22:53:16;9.91897964477539;2020/2/25 22:53:16;65.8854217529297
2020/2/25 23:13:16;10.0925941467285;2020/2/25 23:13:16;65.3935165405273
2020/2/25 23:33:16;9.5717601776123;2020/2/25 23:33:16;68.4606475830078
2020/2/25 23:53:16;9.25347137451172;2020/2/25 23:53:16;72.1064834594727
2020/2/26 0:13:16;9.25347137451172;2020/2/26 0:13:16;71.09375
2020/2/26 0:33:16;8.64583396911621;2020/2/26 0:33:16;72.4826431274414
2020/2/26 0:53:16;8.99305534362793;2020/2/26 0:53:16;71.4988403320313
2020/2/26 1:13:16;9.28240585327148;2020/2/26 1:13:16;70.0810165405273
2020/2/26 1:33:16;8.67477035522461;2020/2/26 1:33:16;70.1678237915039
2020/2/26 1:53:16;8.96412086486816;2020/2/26 1:53:16;70.7754592895508
2020/2/26 2:13:16;8.7905101776123;2020/2/26 2:13:16;70.1967620849609
2020/2/26 2:33:16;8.53009414672852;2020/2/26 2:33:16;67.7372665405273
2020/2/26 2:53:16;8.06712913513184;2020/2/26 2:53:16;65.1041717529297
2020/2/26 3:13:16;7.51736068725586;2020/2/26 3:13:16;65.5671310424805
2020/2/26 3:33:16;7.19907379150391;2020/2/26 3:33:16;62.2685203552246
2020/2/26 3:53:16;6.64930534362793;2020/2/26 3:53:16;59.6643524169922
2020/2/26 4:13:16;7.02546501159668;2020/2/26 4:13:16;58.8541679382324
2020/2/26 4:33:16;6.30208396911621;2020/2/26 4:33:16;47.1354141235352
2020/2/26 4:53:16;6.62037086486816;2020/2/26 4:53:16;44.7627296447754
2020/2/26 5:13:16;6.35995483398438;2020/2/26 5:13:16;39.4097213745117
2020/2/26 5:33:16;6.47569465637207;2020/2/26 5:33:16;34.8958358764648
2020/2/26 5:53:16;5.6655101776123;2020/2/26 5:53:16;34.8668975830078
2020/2/26 6:13:16;6.01272964477539;2020/2/26 6:13:16;32.4652786254883
2020/2/26 6:33:16;5.95486068725586;2020/2/26 6:33:16;31.5972213745117
2020/2/26 6:53:16;6.24421501159668;2020/2/26 6:53:16;31.1631946563721
2020/2/26 7:13:16;6.6782398223877;2020/2/26 7:13:16;37.5
2020/2/26 7:33:16;5.63657379150391;2020/2/26 7:33:16;40.7986106872559
2020/2/26 7:53:16;6.50462913513184;2020/2/26 7:53:16;36.7766189575195
2020/2/26 8:13:16;7.17013931274414;2020/2/26 8:13:16;33.7094917297363
2020/2/26 8:33:16;7.40162086486816;2020/2/26 8:33:16;38.0787048339844
2020/2/26 8:53:16;8.26967620849609;2020/2/26 8:53:16;39.5543975830078
2020/2/26 9:13:16;8.64583396911621;2020/2/26 9:13:16;37.4421310424805
2020/2/26 9:33:16;8.67477035522461;2020/2/26 9:33:16;37.7893524169922
2020/2/26 9:53:16;9.42708396911621;2020/2/26 9:53:16;37.9340286254883
2020/2/26 10:13:16;10.0925941467285;2020/2/26 10:13:16;33.5358810424805
