时间,温度℃,气压hPa,相对湿度%,风向/度,风速m/s,降水mm,测点,经度,纬度,,,
2020/5/1 0:00,18.4,1002.8,85,137/SE,2.4,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/1 1:00,17.6,1002.4,88,113/ESE,1.3,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/1 2:00,17.6,1002.1,89,290/WNW,1,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/1 3:00,18.4,1001.7,87,123/ESE,2,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/1 4:00,17.7,1001.4,91,112/ESE,0.9,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/1 5:00,19.2,1001.4,86,266/W,1.6,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/1 6:00,17.3,1002.3,90,101/E,2.3,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/1 7:00,18.4,1002.7,86,192/SSW,0.4,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/1 8:00,23.2,1002.8,68,105/ESE,1.6,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/1 9:00,25.6,1002.7,64,102/ESE,3.8,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/1 10:00,22.8,1003.1,67,120/ESE,5.2,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/1 11:00,23.3,1003,67,118/ESE,4,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/1 12:00,25.5,1002.6,57,148/SSE,4.9,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/1 13:00,26.2,1002.1,51,151/SSE,3.9,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/1 14:00,25,1001.9,54,142/SE,5.1,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/1 15:00,22.1,1002,65,139/SE,7.1,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/1 16:00,21.4,1001.6,62,134/SE,6.8,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/1 17:00,22.7,1001,62,165/SSE,4.5,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/1 18:00,24.2,1000.9,65,209/SSW,6.6,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/1 19:00,22.3,1001.2,70,145/SE,3.8,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/1 20:00,20.9,1001.9,74,231/SW,3.1,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/1 21:00,19.9,1002.3,73,115/ESE,2.6,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/1 22:00,20.1,1002.2,70,91/E,2.6,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/1 23:00,20.1,1002.4,70,142/SE,3.7,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/2 0:00,19.1,1002.2,77,150/SSE,1.8,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/2 1:00,18.7,1001.4,83,171/S,2.8,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/2 2:00,18,1001,86,156/SSE,4.1,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/2 3:00,17.4,1000.9,90,151/SSE,3.3,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/2 4:00,17.1,1000.9,97,107/ESE,4.1,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/2 5:00,16.7,1001.1,99,150/SSE,3.6,1.7,54853,120.42,36.17,山东,青岛,崂山
2020/5/2 6:00,16.7,1001.6,100,140/SE,3.6,1.6,54853,120.42,36.17,山东,青岛,崂山
2020/5/2 7:00,17,1002,100,126/SE,5.9,0.1,54853,120.42,36.17,山东,青岛,崂山
