时间,温度℃,气压hPa,相对湿度%,风向/度,风速m/s,降水mm,测点,经度,纬度,,,
4/1/2019 0:00,5.6,1018.4,60,119/ESE,1.3,0,54853,120.42,36.17,山东,青岛,崂山
4/1/2019 1:00,5.6,1018.1,71,133/SE,0.9,0,54853,120.42,36.17,山东,青岛,崂山
4/1/2019 2:00,5.7,1018.1,72,144/SE,0.6,0,54853,120.42,36.17,山东,青岛,崂山
4/1/2019 3:00,5.6,1017.8,71,0/N,0,0,54853,120.42,36.17,山东,青岛,崂山
4/1/2019 4:00,5.8,1017.5,68,178/S,0.4,0,54853,120.42,36.17,山东,青岛,崂山
4/1/2019 5:00,5.9,1017.2,68,0/N,0,0,54853,120.42,36.17,山东,青岛,崂山
4/1/2019 6:00,4.8,1017.3,74,295/WNW,1.8,0,54853,120.42,36.17,山东,青岛,崂山
4/1/2019 7:00,5.3,1017.9,71,310/NW,1.9,0,54853,120.42,36.17,山东,青岛,崂山
4/1/2019 8:00,7.8,1018,68,339/NNW,1.2,0,54853,120.42,36.17,山东,青岛,崂山
4/1/2019 9:00,10.8,1017.8,51,317/NW,4,0,54853,120.42,36.17,山东,青岛,崂山
4/1/2019 10:00,13.5,1017.6,31,308/NW,4.1,0,54853,120.42,36.17,山东,青岛,崂山
4/1/2019 11:00,15.5,1017.3,15,296/WNW,4.9,0,54853,120.42,36.17,山东,青岛,崂山
4/1/2019 12:00,13.5,1016.7,51,107/ESE,5.1,0,54853,120.42,36.17,山东,青岛,崂山
4/1/2019 13:00,13.1,1016,47,118/ESE,5.7,0,54853,120.42,36.17,山东,青岛,崂山
4/1/2019 14:00,12.7,1015.6,50,103/ESE,5.3,0,54853,120.42,36.17,山东,青岛,崂山
4/1/2019 15:00,11.8,1015.2,44,136/SE,3.7,0,54853,120.42,36.17,山东,青岛,崂山
4/1/2019 16:00,11.9,1015.1,43,150/SSE,3.3,0,54853,120.42,36.17,山东,青岛,崂山
4/1/2019 17:00,12.4,1015.1,27,131/SE,1.8,0,54853,120.42,36.17,山东,青岛,崂山
4/1/2019 18:00,11.7,1015.4,23,155/SSE,1.4,0,54853,120.42,36.17,山东,青岛,崂山
4/1/2019 19:00,10.6,1016,31,155/SSE,3.2,0,54853,120.42,36.17,山东,青岛,崂山
4/1/2019 20:00,10.2,1016.9,33,121/ESE,3.2,0,54853,120.42,36.17,山东,青岛,崂山
4/1/2019 21:00,9.4,1017.6,29,106/ESE,2.3,0,54853,120.42,36.17,山东,青岛,崂山
4/1/2019 22:00,8.3,1018,36,196/SSW,1.3,0,54853,120.42,36.17,山东,青岛,崂山
4/1/2019 23:00,7.2,1017.8,44,195/SSW,1.2,0,54853,120.42,36.17,山东,青岛,崂山
4/2/2019 0:00,6.5,1017.5,44,217/SW,0.9,0,54853,120.42,36.17,山东,青岛,崂山
4/2/2019 1:00,5.6,1017.1,43,242/WSW,1,0,54853,120.42,36.17,山东,青岛,崂山
4/2/2019 2:00,7.7,1017.1,26,171/S,5.5,0,54853,120.42,36.17,山东,青岛,崂山
4/2/2019 3:00,7.8,1016.9,27,172/S,4.7,0,54853,120.42,36.17,山东,青岛,崂山
4/2/2019 4:00,7.4,1016.8,36,166/SSE,6.4,0,54853,120.42,36.17,山东,青岛,崂山
4/2/2019 5:00,6.8,1017.1,69,164/SSE,5.7,0,54853,120.42,36.17,山东,青岛,崂山
4/2/2019 6:00,6.5,1017.3,66,155/SSE,3.6,0,54853,120.42,36.17,山东,青岛,崂山
4/2/2019 7:00,8.6,1017.3,23,131/SE,6.1,0,54853,120.42,36.17,山东,青岛,崂山
4/2/2019 8:00,10.2,1017.3,21,117/ESE,7.6,0,54853,120.42,36.17,山东,青岛,崂山
4/2/2019 9:00,9.5,1018,34,140/SE,7.2,0,54853,120.42,36.17,山东,青岛,崂山
4/2/2019 10:00,9.8,1018.3,39,142/SE,5.2,0,54853,120.42,36.17,山东,青岛,崂山
4/2/2019 11:00,9.7,1017.9,40,149/SSE,5.6,0,54853,120.42,36.17,山东,青岛,崂山
4/2/2019 12:00,9.8,1017.9,43,149/SSE,6.6,0,54853,120.42,36.17,山东,青岛,崂山
4/2/2019 13:00,10.1,1017.5,52,128/SE,5.8,0,54853,120.42,36.17,山东,青岛,崂山
