进柜日期,进柜开始时间,进柜结束时间,产量kg,出柜日期,出柜开始时间,出柜结束时间
2020/2/10,15:05,16:25,4585,2020/2/10,20:25,22:35
2020/2/10,18:45,20:25,6736,2020/2/11,4:25,7:10
2020/2/10,21:35,23:15,6763,2020/2/11,7:25,10:10
2020/2/13,21:50,23:20,8983,2020/2/14,6:05,9:25
2020/2/13,23:50,1:40,8890,2020/2/14,13:20,17:10
2020/2/13,0:00,1:45,8989,2020/2/14,9:35,12:50
2020/2/14,3:20,5:10,8903,2020/2/14,17:35,20:55
2020/2/14,6:10,7:35,6189,2020/2/14,21:45,0:10
2020/2/17,11:05,12:55,8909,2020/2/17,17:30,20:40
2020/2/17,15:10,17:00,8912,2020/2/17,21:10,0:35
2020/2/18,3:00,4:45,9013,2020/2/18,18:20,21:35
2020/2/17,23:55,2:05,8871,2020/2/18,10:05,13:20
2020/2/17,4:05,5:45,6801,2020/2/18,14:10,16:50
2020/2/18,15:00,16:50,8917,2020/2/18,21:45,1:10
2020/2/18,18:40,20:30,8920,2020/2/19,3:05,6:40
2020/2/18,18:40,20:30,9026,2020/2/19,6:45,10:10
2020/2/19,16:25,18:20,9035,2020/2/20,13:35,16:50
2020/2/20,12:00,13:50,8926,2020/2/20,17:50,21:00
2020/2/20,16:00,17:50,8948,2020/2/20,21:55,1:00
2020/2/21,4:25,6:35,8811,2020/2/21,10:35,14:05
2020/2/21,8:40,10:50,8857,2020/2/21,20:15,23:35
2020/2/24,11:35,13:30,8937,2020/2/24,17:35,21:00
2020/2/24,15:10,17:20,8922,2020/2/24,21:40,1:10
2020/2/24,21:15,22:55,6771,2020/2/25,10:40,13:00
2020/2/25,15:25,17:35,8913,2020/2/25,21:40,1:05
2020/2/25,22:10,0:00,9033,2020/2/26,6:30,9:40
2020/2/26,16:30,18:20,9017,2020/2/27,7:25,10:45
2020/2/26,19:15,21:00,9039,2020/2/27,2:45,6:10
2020/2/28,1:25,3:15,8944,2020/2/28,7:15,10:30
2020/2/28,15:35,17:20,9051,2020/2/28,23:50,3:15
2020/3/2,23:00,0:50,9027,2020/3/3,8:50,12:00
2020/3/3,7:40,9:20,6762,2020/3/3,18:10,20:55
2020/3/3,16:45,18:35,9020,2020/3/4,4:50,9:10
2020/3/3,19:05,20:55,9051,2020/3/4,9:25,13:30
2020/3/6,12:40,14:10,6756,2020/3/7,3:35,10:40
2020/3/6,20:50,22:40,9041,2020/3/7,10:25,14:50
2020/3/9,14:15,16:00,9025,2020/3/9,20:00,1:20
2020/3/9,16:25,18:10,9024,2020/3/10,1:35,5:00
2020/3/10,3:55,5:45,9014,2020/3/10,18:30,21:35
2020/3/11,4:45,6:25,6760,2020/3/12,6:40,9:35
2020/3/12,17:40,19:20,6213,2020/3/13,15:00,17:30
2020/3/13,20:55,22:25,6683,2020/3/14,14:10,17:15
2020/3/14,3:40,5:25,9016,2020/3/14,10:20,13:35
2020/3/16,12:40,14:35,9046,2020/3/16,18:35,22:05
2020/3/17,16:35,18:25,9010,2020/3/18,0:50,4:10
2020/3/19,9:05,10:55,8973,2020/3/19,14:55,18:25
2020/3/19,11:10,12:55,8998,2020/3/19,18:50,22:00
2020/3/20,20:50,22:35,9009,2020/3/21,3:50,7:20
2020/3/23,14:30,16:40,8986,2020/3/24,0:35,3:55
2020/3/24,7:55,9:40,8999,2020/3/24,15:55,19:15
2020/3/24,13:30,15:20,9021,2020/3/24,19:25,22:40
2020/3/26,12:55,14:40,9030,2020/3/26,19:30,22:30
2020/3/30,8:45,10:35,8962,2020/3/30,14:40,18:00
2020/3/30,4:40,6:25,8990,2020/3/31,10:30,13:55
2020/3/31,23:00,0:50,9001,2020/4/1,7:35,11:20
2020/4/7,11:00,12:05,3181,2020/4/7,20:05,21:30
2020/4/7,13:05,14:10,3249,2020/4/7,22:10,23:35
2020/4/7,14:20,16:10,8956,2020/4/8,1:35,5:15
2020/4/8,14:15,16:25,8875,2020/4/9,8:40,12:00
2020/4/8,16:55,18:45,6751,2020/4/9,12:10,14:45
2020/4/9,10:35,12:20,9019,2020/4/9,16:25,19:40
2020/4/9,2:10,3:55,8978,2020/4/9,10:30,13:30
2020/4/10,9:10,10:55,9011,2020/4/10,18:10,21:25
2020/4/13,22:10,0:00,8983,2020/4/14,6:25,9:40
2020/4/15,0:40,2:20,6679,2020/4/15,10:20,13:00
2020/4/15,3:20,5:00,8964,2020/4/16,13:20,17:00
2020/4/16,9:00,10:45,8981,2020/4/16,14:45,18:00
2020/4/17,3:30,5:05,8965,2020/4/17,10:55,14:25
2020/4/17,18:10,19:50,6711,2020/4/18,8:55,11:30
2020/4/20,9:00,10:40,8947,2020/4/20,14:40,18:10
2020/4/20,0:40,2:25,8984,2020/4/21,9:45,13:15
2020/4/21,17:10,18:40,6733,2020/4/22,2:40,5:15
2020/4/21,16:35,18:25,8966,2020/4/21,22:55,2:10
2020/4/24,7:20,9:05,9014,2020/4/24,14:10,17:30
2020/4/28,7:05,8:55,8958,2020/4/28,16:00,19:15
2020/5/5,14:45,15:25,5883,2020/5/6,10:05,11:00
2020/5/6,10:10,11:05,2714,2020/5/6,19:05,20:25
2020/5/6,11:25,13:00,6199,2020/5/7,8:50,11:20
2020/5/7,0:45,2:30,8959,2020/5/7,11:40,15:05
