进柜日期,进柜开始时间,进柜结束时间,产量kg
2020/2/10,18:45,20:25,6736
2020/2/10,21:35,23:15,6763
2020/2/13,23:50,1:40,8890
2020/2/14,3:20,5:10,8903
2020/2/14,6:10,7:35,6189
2020/2/17,11:05,12:55,8909
2020/2/17,15:10,17:00,8912
2020/2/17,23:55,2:05,8871
2020/2/18,4:05,5:45,6801
2020/2/18,15:00,16:50,8917
2020/2/18,18:40,20:30,8920
2020/2/20,12:00,13:50,8926
2020/2/20,16:00,17:50,8948
2020/2/21,4:25,6:35,8811
2020/2/21,8:40,10:50,8857
2020/2/24,11:35,13:30,8937
2020/2/24,15:10,17:20,8922
2020/2/24,21:15,22:55,6771
2020/2/25,15:25,17:35,8913
2020/2/25,18:25,19:55,5006
2020/2/27,21:25,22:55,5047
2020/2/28,1:25,3:15,8944
2020/3/3,7:40,9:20,6762
2020/3/3,20:55,22:25,5016
2020/3/6,4:00,5:30,4895
2020/3/6,6:30,8:00,5092
2020/3/6,12:40,14:10,6756
2020/3/6,22:45,0:15,4992
2020/3/9,9:10,10:10,2502
2020/3/10,0:00,0:40,2474
2020/3/10,3:00,4:30,6209
2020/3/11,4:45,6:25,6760
2020/3/11,22:15,23:35,4976
2020/3/12,17:40,19:20,6213
2020/3/13,20:55,22:25,6683
2020/3/16,10:15,11:45,5001
2020/3/17,18:40,19:50,4997
2020/3/26,12:55,14:40,9030
2020/3/27,8:00,9:40,5058
2020/3/27,19:45,21:10,5023
2020/3/27,22:00,23:30,5019
2020/3/30,23:20,0:40,5011
2020/3/31,1:50,3:10,5020
2020/4/1,1:05,2:25,5004
2020/4/1,2:35,3:55,4940
2020/4/1,4:20,5:40,5066
2020/4/7,11:00,12:05,3181
2020/4/7,13:05,14:10,3249
2020/4/8,14:15,16:25,8875
2020/4/8,16:55,18:45,6751
2020/4/10,6:50,8:30,6709
2020/4/15,0:40,2:20,6679
2020/4/17,18:10,19:50,6711
2020/4/21,17:10,18:40,6733
2020/4/24,5:05,6:35,5067
2020/4/27,13:00,14:40,5044
2020/5/5,14:45,15:25,5883
2020/5/6,10:10,11:05,2714
2020/5/6,11:25,13:00,6199
2020/5/7,17:45,19:35,9027
2020/5/7,21:20,23:10,9016
2020/5/8,11:10,12:40,5042
2020/5/8,13:30,15:10,5067
2020/5/8,16:55,18:45,9022
2020/5/11,8:25,9:10,2231
2020/5/11,9:45,10:30,2280
2020/5/11,10:55,13:20,4552
2020/5/11,14:15,15:45,5029
2020/5/12,14:40,16:30,9016
2020/5/12,17:45,19:15,4982
2020/5/14,10:05,11:20,2732
2020/5/14,12:15,14:05,8960
2020/5/14,15:50,17:50,8965
2020/5/15,15:35,17:00,5108
2020/5/15,19:10,21:10,8988
2020/5/16,0:45,2:25,6861
2020/5/18,19:00,20:55,8969
2020/5/18,21:25,22:55,5041
2020/5/19,23:30,1:40,8985
2020/5/20,2:15,3:55,6802
2020/5/21,12:15,13:55,6835
2020/5/28,13:35,15:15,6779
2020/5/28,16:20,18:00,6845
2020/5/28,18:05,20:05,8915
2020/5/28,20:15,22:15,8869
2020/5/28,23:00,1:40,8922
2020/6/1,21:50,23:40,8963
2020/6/2,1:30,3:20,8980
2020/6/3,11:35,13:05,6783
2020/6/3,13:20,15:10,8964
2020/6/5,11:30,13:20,9036
2020/6/5,13:30,15:20,9007
2020/6/5,15:40,16:40,4523
2020/6/5,17:00,18:00,4603
2020/6/5,21:25,22:55,6795
2020/6/9,0:10,2:00,8975
2020/6/9,4:00,5:50,8954
2020/6/10,3:55,5:50,8936
2020/6/11,13:15,14:35,6771
2020/6/12,17:30,19:30,8929
2020/6/12,21:00,23:00,8923
2020/6/15,23:30,1:10,5036
2020/6/16,5:30,7:00,5012
2020/6/16,9:00,10:50,8967
2020/6/16,12:20,14:10,8950
2020/6/17,2:35,4:15,6135
2020/6/17,6:30,8:00,5049
2020/6/18,10:30,12:30,8922
2020/6/18,14:10,16:10,8895
2020/6/18,16:40,18:05,4999
2020/6/18,19:10,20:50,6193
2020/6/19,12:50,14:50,8878
2020/6/19,15:20,16:50,5014
2020/6/19,17:35,19:05,5014
2020/6/22,10:40,12:30,8914
2020/6/22,13:00,14:20,5006
2020/6/22,15:30,16:50,5031
2020/6/23,5:50,7:25,5027
2020/6/23,8:10,9:40,5108
2020/6/23,10:40,12:10,5021
2020/6/23,14:10,16:10,8932
2020/6/23,23:10,1:00,8915
2020/6/30,4:35,6:35,9036
2020/6/30,6:40,8:30,8876
2020/6/30,8:50,10:40,8894
2020/6/30,11:00,12:30,5006
2020/6/30,12:40,14:10,4986
2020/6/30,15:00,17:20,5106
2020/6/30,17:55,18:25,985
