五千加料出口水分实际值,T_LAC5_ADD_ActualOutputMoisture,润叶加料出口物料水分实际值
五千加料出口温度实际值,T_LAC5_ADD_ActualOutputTem,润叶加料出口物料温度实际值
五千加料烟叶流量实际值,T_LAC5_BEL_ActualTbcLeafFlow,润叶加料烟叶流量实际值
五千加料烟叶流量累计值,T_LAC5_BEL_ActualTbcLeafTotalVol,润叶加料烟叶累计量实际值
九千加料出口水分实际值,T_LAC9_ADD_ActualOutputMoisture,润叶加料出口物料水分实际值
九千加料出口温度实际值,T_LAC9_ADD_ActualOutputTem,润叶加料出口物料温度实际值
九千加料烟叶流量实际值,T_LAC9_BEL_ActualTbcLeafFlow,润叶加料烟叶流量实际值
九千加料烟叶流量累计值,T_LAC9_BEL_ActualTbcLeafTotalVol,润叶加料烟叶累计量实际值
三千一次加料出口水分实际值,T_LAP3_ADD_ActualOutputMoisture,一次加料加料出口物料水分实际值
三千一次加料出口温度实际值,T_LAP3_ADD_ActualOutputTem,一次加料出口物料温度实际值
三千一次加料流量累计值,T_LAP3_BEL_ActualTbcLeafTotalVol,一次加料烟叶累计量实际值
三千二次加料出口水分实际值,T_LAC3_ADD_ActualOutputMoisture,二次加料加料出口物料水分实际值
三千二次加料出口温度实际值,T_LAC3_ADD_ActualOutputTem,二次加料出口物料温度实际值
三千二次加料流量累计值,T_LAC3_BEL_ActualTbcLeafTotalVol,二次加料烟叶累计量实际值
五千烘丝入口水分实际值,T_LD5_DRY_ActualInputMoisture,烘丝入口物料水分实际值
五千烘丝入口温度实际值,,
五千烘丝入口烟叶流量,T_LD5_BEL_ActualTbcLeafFlow,烘丝前叶丝流量实际值
五千烘丝入口烟叶流量累计值,T_LD5_BEL_ActualTbcLeafTotalVol,烘丝前叶丝累计量实际值
三千烘丝入口水分实际值,T_LRD3_CAS_ActualInputMoisture,KLD烘前入口物料水分实际值
三千烘丝入口温度实际值,,
三千烘丝入口烟叶流量,T_LRD3_BELPRE_ActualTbcLeafFlow,KLD烘前烟丝流量实际值
三千烘丝入口烟叶流量累计值,T_LRD3_BELPRE_ActualTbcLeafTotalVol,KLD烘前烟丝累计量实际值
九千RCC入口水分实际值,T_LD9_RCC_ActualInputMoisture,烘丝RCC入口物料水分实际值
九千RCC入口温度实际值,,
九千RCC入口烟叶流量,T_LD9_BEL_ActualTbcLeafFlow,入口叶丝流量实际值
九千RCC入口烟叶流量累计值,T_LD9_BEL_ActualTbcLeafTotalVol,入口叶丝累计量实际值
