??,????,????,????,????,????,????,????,????,Avg_T,Avg_H,?t,0???_???,0???_????%,1???_???,1???_????%,2???_???,2???_????%,3???_???,3???_????%,4???_???,4???_????%,?????t
2020/3/1 22:01,33.99884415,24.87847137,33.44907379,16.57407379,30.67129517,24.53125,4.762729645,64.31134338,28.14814911,31.89236107,28080,2.6,75,2.2,76,1.8,79,1.5,82,0.9,84,34364
2020/3/7 23:55,62.90509033,26.12268448,54.45602036,14.8379631,54.22454071,27.28009415,9.375001526,82.36111145,29.65856552,56.10532455,2760,6.8,99,6.5,100,6.4,100,6,100,5.9,100,31424
2020/3/23 0:22,64.20717621,26.875,62.35531998,24.58911896,50.40509033,25.57291412,10.35301018,29.13772964,29.97685318,25.97800865,23400,7.5,35,6.9,39,7.3,36,7.4,39,7.6,40,39434
2020/3/30 2:56,60.15625,24.32870483,54.36920929,21.0879631,43.66319656,22.21643448,7.187501907,59.20138626,28.13657532,26.62615738,13320,4.2,62,3.8,65,3.8,66,3.8,68,4.8,67,17954
2020/4/6 23:08,26.18634415,24.53125,22.01967621,23.86574173,21.875,25.39930344,12.50868149,55.35590363,28.01504593,23.85416641,17880,10.3,58,10,64,10.1,61,10,60,9.7,57,36254
2020/4/20 0:32,59.02777863,26.44097137,43.11342621,18.5995369,43.60532379,26.12268448,10.91724777,82.75462723,30.15625076,35.85069504,14280,8.4,98,10,99,10.2,98,10,98,10.1,98,28934
2020/4/26 23:46,44.56018448,25.54397964,22.56944466,22.24536896,15.53819466,28.23495483,12.11805649,32.94560089,30.26041718,26.00115738,20760,9.9,34,8.9,38,8.6,41,9.6,37,8.6,42,28994
2020/5/5 6:26,33.56481552,24.18402863,27.80671501,24.01041412,22.3379631,25.3125,14.30555725,49.36342697,26.66666565,30.64236107,11040,12.1,56,10.8,71,10.2,86,10.9,86,13.1,84,15987
2020/5/11 2:54,62.23958206,29.18981552,47.80092621,29.39236069,40.07522964,28.66897964,17.85300789,75.82175903,30.63657455,45.61342545,9960,15.1,93,14.6,94,16.1,81,16.1,79,17.8,72,21927
2020/5/18 2:48,68.14235687,28.52430344,48.87152863,27.88772964,50.63656998,28.7557869,15.35879364,79.90740051,31.49884338,48.07870407,6360,14,88,14.5,83,15.3,75,14.8,85,15.6,80,22167
